,typename,id,label,geometry,service,description,height,date
0,TL740798,40024,Base Data (ef),"Point;[590663.2868758041],[6136733.445268164]",energifyn,"Konisk, Ral 9005",4.0,2020-06-17T04:45:22+02:00
1,TL740798,40023,Base Data (ef),"Point;[590653.2780004274],[6136723.77737904]",energifyn,"Konisk, Ral 9005",4.0,2020-06-17T04:45:22+02:00
2,TL740798,40022,Base Data (ef),"Point;[590638.7944313333],[6136725.149639067]",energifyn,"Konisk, Ral 9005",4.0,2020-06-17T04:45:22+02:00
3,TL740798,40021,Base Data (ef),"Point;[590646.722157434],[6136740.452083184]",energifyn,"Konisk, Ral 9005",4.0,2020-06-17T04:45:22+02:00
4,TL740798,40020,Base Data (ef),"Point;[590627.4839470972],[6136738.721049193]",energifyn,"Konisk, Ral 9005",4.0,2020-06-17T04:45:22+02:00
5,TL740798,40038,Base Data (ef),"Point;[590667.5584189172],[6136741.548116189]",energifyn,"Konisk, Ral 9005",4.0,2020-06-17T04:45:23+02:00
6,TL740798,40037,Base Data (ef),"Point;[590664.0431799795],[6136764.519225605]",energifyn,"Konisk, Ral 9005",4.0,2020-06-17T04:45:23+02:00
7,TL740798,40036,Base Data (ef),"Point;[590656.9088443032],[6136787.749937196]",energifyn,"Konisk, Ral 9005",4.0,2020-06-17T04:45:23+02:00
8,TL740798,40035,Base Data (ef),"Point;[590655.329806363],[6136805.974054391]",energifyn,"Konisk, Ral 9005",4.0,2020-06-17T04:45:23+02:00
9,TL740798,40034,Base Data (ef),"Point;[590665.8428605323],[6136828.120212142]",energifyn,"Konisk, Ral 9005",4.0,2020-06-17T04:45:23+02:00
10,TL740800,1060,Fuse Box (ef),"Point;[590656.1853049914],[6136795.193543954]",energifyn,,,
